k,features,sil score,CH score
2,duchenne_neutral_strongduchenne_6only_polite,0.384253221619,194.274762604
3,duchenne_neutral_strongduchenne_6only_polite,0.468496055602,262.144255547
4,duchenne_neutral_strongduchenne_6only_polite,0.49646937521,306.893039722
5,duchenne_neutral_strongduchenne_6only_polite,0.454998179784,319.303471509
6,duchenne_neutral_strongduchenne_6only_polite,0.450517433508,297.301235704
7,duchenne_neutral_strongduchenne_6only_polite,0.415490416048,290.201101722
8,duchenne_neutral_strongduchenne_6only_polite,0.385875573111,283.882758514
9,duchenne_neutral_strongduchenne_6only_polite,0.392457130357,284.043697882
10,duchenne_neutral_strongduchenne_6only_polite,0.410197319678,289.669762025
11,duchenne_neutral_strongduchenne_6only_polite,0.415830966745,290.050900151
12,duchenne_neutral_strongduchenne_6only_polite,0.411022786471,290.986709304
13,duchenne_neutral_strongduchenne_6only_polite,0.415063475587,288.511100969
14,duchenne_neutral_strongduchenne_6only_polite,0.383157754529,283.071864814
15,duchenne_neutral_strongduchenne_6only_polite,0.396306038456,286.365154876
16,duchenne_neutral_strongduchenne_6only_polite,0.38163388929,284.520241666
17,duchenne_neutral_strongduchenne_6only_polite,0.401336860421,278.904059555
18,duchenne_neutral_strongduchenne_6only_polite,0.383066089614,286.668374538
19,duchenne_neutral_strongduchenne_6only_polite,0.382281545058,282.985642422
20,duchenne_neutral_strongduchenne_6only_polite,0.371670212965,280.864430744
