k,features,sil score,CH score
2,duchenne_neutral_strongduchenne_6only_polite,0.386781295898,95.4038744966
3,duchenne_neutral_strongduchenne_6only_polite,0.480160316204,138.430922079
4,duchenne_neutral_strongduchenne_6only_polite,0.519328244579,166.661567967
5,duchenne_neutral_strongduchenne_6only_polite,0.476148409039,179.311810408
6,duchenne_neutral_strongduchenne_6only_polite,0.421869646351,162.381580608
7,duchenne_neutral_strongduchenne_6only_polite,0.374836722971,153.509937356
8,duchenne_neutral_strongduchenne_6only_polite,0.37521762658,153.247077383
9,duchenne_neutral_strongduchenne_6only_polite,0.350492528859,148.063974123
10,duchenne_neutral_strongduchenne_6only_polite,0.389262666835,145.787981196
11,duchenne_neutral_strongduchenne_6only_polite,0.361085352723,146.258409698
12,duchenne_neutral_strongduchenne_6only_polite,0.378816376386,148.050846825
13,duchenne_neutral_strongduchenne_6only_polite,0.380216939865,148.953881022
14,duchenne_neutral_strongduchenne_6only_polite,0.397776391482,145.429915022
15,duchenne_neutral_strongduchenne_6only_polite,0.381536772837,146.911897371
16,duchenne_neutral_strongduchenne_6only_polite,0.37773493441,146.270283595
17,duchenne_neutral_strongduchenne_6only_polite,0.390005251872,147.392088536
18,duchenne_neutral_strongduchenne_6only_polite,0.371307972384,144.649940827
19,duchenne_neutral_strongduchenne_6only_polite,0.385544066121,144.163130961
20,duchenne_neutral_strongduchenne_6only_polite,0.35411112865,144.518105833
