root,s1,s2
2016-03-03_18-01-50-492,157,212
2016-03-11_16-16-40-42,62,116
2016-03-15_18-15-13-468,51,88
2016-03-15_21-12-05-243,57,108
2016-03-16_10-05-49-922,63,108
2016-06-07_12-20-38-706,52,96
2016-06-08_13-59-09-521,47,111
2016-06-08_14-28-32-854,87,156
2016-06-08_19-02-40-950,70.5,107
2016-06-09_09-05-50-814,72,119
2016-06-09_09-16-19-112,87,136.5
2016-06-09_10-21-37-95,80,144
2016-06-09_14-57-19-201,81,127
2016-06-09_19-03-42-701,69,129
2016-06-10_11-15-58-679,61.5,115
2016-06-15_14-19-27-616,109,154
2016-06-17_12-13-27-771,68,122
2016-06-27_10-18-39-581,83,161
2016-06-27_13-10-48-352,59,104
2016-06-27_15-39-18-93,70,131
2016-06-27_16-30-46-620,85,132
2016-06-27_18-38-55-777,61,94.5
2016-06-28_11-01-38-934,64,98
2016-06-28_14-46-30-695,48,75
2016-06-28_14-54-10-129,80,148
2016-06-29_11-06-57-279,55,108
2016-06-30_14-03-23-90,55,100
2016-07-01_11-11-17-124,78,126
2016-07-01_11-21-24-649,64,122
2016-07-01_14-09-14-629,58,104
2016-07-01_14-17-15-163,50,106
2016-10-31_14-31-23-340,45,100
2016-10-31_14-50-50-13,93,126
2016-10-31_14-57-52-839,88,139
2016-11-02_09-00-13-953,111,156
2016-11-02_09-12-07-438,115,151
2016-11-07_16-04-30-467,64,111
2016-11-07_16-31-08-51,78.5,116
2016-11-16_15-02-44-269,110,202
2016-11-16_15-09-44-142,72,163
2016-11-16_15-16-14-317,68,130
2016-11-16_15-22-35-549,61,117
2016-11-16_15-28-45-33,114,224
2016-11-17_15-04-57-574,86,144
2016-11-17_15-13-20-248,73,120
2016-11-17_15-30-42-250,107,185
2016-11-17_15-37-36-401,142,181
2016-12-09_15-31-59-194,80,123
2016-12-15_11-16-56-369,77,137
2016-12-15_11-24-43-478,58,105
2016-12-15_11-33-07-644,54,90
2017-01-07_11-22-41-332,64,107
2017-01-09_17-06-50-611,77,117
2017-01-12_19-38-26-565,81,152
2017-01-13_10-05-15-634,79,133
2017-01-13_10-15-21-96,60.4,93
2017-01-15_11-58-28-695,85,180
2017-01-19_21-44-30-30,53,117
2017-01-23_14-11-22-452,63,111
2017-01-23_14-22-31-901,65,113
2017-01-23_14-36-37-921,96,144.5
2017-01-23_14-51-16-907,57,97
2017-01-24_13-14-08-252,68,123
2017-01-24_13-24-30-926,58,114
2017-01-24_13-30-57-338,61,103
2017-01-24_13-39-49-946,50,86
2017-01-25_14-06-44-152,99,154
2017-01-25_14-27-37-757,75,114
2017-01-26_14-16-48-797,58,94
2017-01-26_14-26-15-622,47,80
2017-01-26_14-38-29-906,65,106
2017-01-26_14-47-20-540,49,103
2017-01-27_14-09-18-253,113,168
2017-01-27_14-20-31-480,60,116
2017-01-27_14-28-32-985,55,90
2017-01-27_14-36-04-870,54,114
2017-01-30_14-02-09-31,53,96
