,sfield,cfield,mean HI,mean LO,t-test,MWW,Cohens d
472,AU05_r_HI,Seeing,0.968001130325074,0.48528111548944886,2.456886905537201e-05,8.763444562509632e-06,-0.7477347110947457
470,AU05_r_HI,Perceptual,1.296708233698597,0.6553261167844501,5.987362321203331e-05,3.2751720914243434e-05,-0.7088769193320255
862,AU09_r_HI,Seeing,0.9853167550911911,0.5024198805888946,0.00012573511944012793,5.40667402224395e-05,-0.6814478717882715
1773,AU23_r_LO,Seeing,0.9576349008574073,0.3930315716030002,0.0035099545078276515,6.922424564450509e-05,-0.5181351875184678
1250,AU14_r_HI,Perceptual,1.1089250341992116,0.37726715225881563,0.00014099599844794353,6.930571329729299e-05,-0.7505041176078389
394,AU05_r_HI,Personal pronouns,1.7556781966900572,1.0128459888876558,5.5605563695341293e-05,8.215233787022923e-05,-0.7105787190527334
452,AU05_r_HI,Cognitive,4.939607698947951,3.0122493440201774,4.202058472716381e-05,9.07967545210797e-05,-0.7215050275116123
2012,AU26_r_HI,Cognitive,4.644182877203239,2.7367631867787146,0.00037860191280418044,0.00010876407972966316,-0.6553459111083885
1102,AU12_r_HI,Cognitive,4.520561866077778,2.4873973512856713,0.0001150257951279134,0.0001319760396821048,-0.7369435404212681
733,AU07_r_LO,Seeing,0.9088744806391866,0.4020372153099426,6.488092579317891e-05,0.00015562173474296717,-0.7694100970189877
1882,AU25_r_HI,Cognitive,4.21824513283555,2.7033058326536583,0.0003954146204667034,0.00016207467608626023,-0.6620866472380673
731,AU07_r_LO,Perceptual,1.2393455926789263,0.5393259720077902,0.00025940135215827653,0.0001663703805740405,-0.6979930940401813
860,AU09_r_HI,Perceptual,1.2628950352070651,0.6501330242527424,0.0001482329692346058,0.0001943673516290336,-0.6752927997691932
1376,AU15_r_HI,Inclusion,1.253890453346975,0.6403345089964808,0.002194782251282424,0.00021485408476238166,-0.5424059619104316
1116,AU12_r_HI,Inclusion,1.0987020466408124,0.5049740363289,0.0011183591515215086,0.00024934278441414854,-0.6159289449974238
1954,AU26_r_HI,Personal pronouns,1.5815599998292307,0.9104175586318443,7.148856656725882e-05,0.00025914371650347497,-0.7390309375978708
412,AU05_r_HI,Auxiliary verbs,3.923519152373859,2.7379950296616964,0.0005443898144526551,0.0002672433704846935,-0.6000042419968443
1252,AU14_r_HI,Seeing,0.8273175035886902,0.30608362175748305,0.0002663156533388889,0.0002800345093219405,-0.713740937586465
1956,AU26_r_HI,I,0.97124547900566,0.5322335997335997,0.00022015668055432725,0.0002901455403951144,-0.6832521820513541
468,AU05_r_HI,Exclusion,1.2226201646142343,0.766870012703346,0.000587226966470524,0.00029054506693336203,-0.5942768462550129
2161,AU45_r_LO,Perceptual,1.1451489043038339,0.5057176891735714,0.00040744744134245153,0.0003068537922207518,-0.6183638061559316
1232,AU14_r_HI,Cognitive,4.143004021568329,2.3523654891035983,0.0002612546123435285,0.00031771697548739773,-0.7064566400443032
1900,AU25_r_HI,Perceptual,1.0933709868098032,0.5987496601627036,0.0037916232910433544,0.00031991867870480577,-0.5444581426089391
1254,AU14_r_HI,Hearing,0.09844693912490522,0.01142783769902414,0.025214454412479534,0.00032554124654782495,-0.42587273199863995
942,AU10_r_HI,Prepositions,2.3097849311950873,1.3081719597464605,0.002681512971783765,0.0003271205565928518,-0.5557343548955331
2028,AU26_r_HI,Exclusion,1.1226557228593426,0.6625435210062539,0.0017594881931010946,0.0003293338680219795,-0.5615916237907835
390,AU05_r_HI,Function words,19.694331689643032,12.829719219823387,0.0002189395941124014,0.00033485874658324146,-0.6467234047061621
2030,AU26_r_HI,Perceptual,1.263396664923814,0.6169408765837336,0.0008564530546089506,0.0003469713506990775,-0.6180308530990472
518,AU05_r_HI,total words,33.202481928334414,22.173853075936407,0.0002825855186861109,0.0003712472187815868,-0.6338331674111638
1892,AU25_r_HI,Certainty,0.21906759827888592,0.10027030135725788,0.0035268840823592025,0.00038227155251977977,-0.5419197251783507
818,AU09_r_HI,Quantifiers,0.7131415660363029,0.37117432645601656,0.0007624597031571983,0.00038374975399106583,-0.5875223999473457
1072,AU12_r_HI,Prepositions,2.497756077095518,1.3586746421409484,0.0015282657305307186,0.00039076825826516354,-0.5957594150345948
1038,AU10_r_HI,total words,27.382738233518904,18.513846453228172,0.005014679300891326,0.00044071212065622064,-0.516611838917183
1246,AU14_r_HI,Inclusion,1.0851447876373101,0.43818832825010384,0.000683867104726917,0.0004427945079610174,-0.6608587734093179
982,AU10_r_HI,Certainty,0.21532233327361613,0.08192422798797606,0.0003829919124209245,0.0004436519881413929,-0.6685801609884803
910,AU10_r_HI,Function words,16.210784189410127,10.54847075252221,0.0037696655239525603,0.00044411944994487274,-0.534847914499067
2032,AU26_r_HI,Seeing,0.978498728521353,0.47807696271981986,0.0006424229290409336,0.0004575490258127918,-0.6329917782296044
1641,AU20_r_LO,Perceptual,0.9862275451235685,0.49200960622529244,0.0012033399753858286,0.0004720478996920736,-0.5630077895032527
1896,AU25_r_HI,Inclusion,0.8904721445889033,0.6250888805236631,0.03837541053519813,0.0004739366405787224,-0.3715772461365263
738,AU07_r_HI,Biological,0.38455548644227894,0.10419487819326158,0.0002831916115577811,0.0004793886738154532,-0.7569048222896249
