k,features,sil score,CH score
2,AU06_r_AU12_r,0.5549150660988301,1700084.5301777876
3,AU06_r_AU12_r,0.48747085387950173,1754690.507136118
4,AU06_r_AU12_r,0.45681781003517935,1625239.8855567519
5,AU06_r_AU12_r,0.47015522294764894,1770958.0169145907
6,AU06_r_AU12_r,0.46479460751553964,1716031.6384825753
7,AU06_r_AU12_r,0.4579544190764151,1743125.2299313508
8,AU06_r_AU12_r,0.4464558727979943,1685730.8407009207
9,AU06_r_AU12_r,0.45588697135530354,1673037.855052255
10,AU06_r_AU12_r,0.4551973441721336,1690384.9148590523
11,AU06_r_AU12_r,0.4568571334442165,1686974.8710017642
12,AU06_r_AU12_r,0.45579885963020594,1675949.8443293632
13,AU06_r_AU12_r,0.4467183613969261,1666196.066190917
14,AU06_r_AU12_r,0.45345387557120675,1663898.9053591448
